name,price,category,source,url,scraped_at,source_label
Samsung Galaxy A06 128Go 6Go RAM – Prix,1145.29,smartphones,micromagma,,2026-06-12T15:21:48.020904,
ProDesk 600 G1 Tour i5-4590 3.3Ghz - 16Go Ram - 256GB SSD - Remis A Neuf,1208.5,laptops,jumia,,2026-06-12T15:21:57.553012,
"ThinkPad L390 i5-8365U 8éme Génération 8GB 256GB SSD ECRAN 13.3"" AZERTY - REMIS A NEUF",2811.52,laptops,jumia,,2026-06-12T15:22:00.974445,
"Adaptateur de Chargement pour Garmin chargeur Portable de Type-C, pour montre intelligente",52.51,smartphones,jumia,,2026-06-12T15:22:18.802006,
PC BUREAU ProDesk 600-i5 16Go 256ssd souris+clavier GRATUIT-REMIS A NEUF,1303.86,laptops,jumia,,2026-06-12T15:22:22.702869,
Play10 - 64 Go - 3 Go RAM – Starry Purple,885.18,smartphones,jumia,,2026-06-12T15:22:26.720434,
PC GAMER I3 6EME RAM 16Go - SSD 512Go NVIDIA GT710 2GO Remis à neuf,1769.85,laptops,jumia,,2026-06-12T15:22:29.734314,
EPSON Laser TV 100 V12H002AD0 | PRIX,6124.59,tv,micromagma,,2026-06-12T15:22:59.246902,
"Smart TV 65"" QLED Q7F 4K Vision AI",15185.4,tv,jumia,,2026-06-12T15:23:01.050157,
XIAOMI 14T PRO 256Go 12Go RAM,4894.28,smartphones,micromagma,,2026-06-12T15:23:07.274566,
"65 Smart TV UHD AI UT80 4K, Télécommande Magique IA, 65UT80006LA",8973.96,tv,jumia,,2026-06-12T15:23:16.742663,
iPad Air M3 11-inch (2025) Wi-Fi 128 Go Gris Sidéral Neuf,9104.95,smartphones,jumia,,2026-06-12T15:23:28.666746,
Débardeur noir basique à col rond Coupe régulière,34.12,vetements,jumia,,2026-06-12T15:23:33.610198,
"Montre connectée LBS pour enfants, montre Anti-perte,appel SOS,localisateur",122.2,smartphones,jumia,,2026-06-12T15:23:37.675564,
"43"" Smart Tv Full HD Système Vidaa Série A 4K 2 Ans Garantie - 43A4K",2573.9,tv,jumia,,2026-06-12T15:23:45.536401,
4 T-shirt pour femme,156.84,vetements,jumia,,2026-06-12T15:23:45.897495,
544 PowerLine USB C vers USB C 140 W 1m Noir,104.65,smartphones,jumia,,2026-06-12T15:24:00.496019,
MacBook Air M2 (2022) 13-inch - Midnight - 16GB RAM / 256GB - QWERTY - NEW,10269.75,laptops,jumia,,2026-06-12T15:24:09.019833,
